currency,term,ticker,field,type,mat_days ,fx_base_convention,base
USDJPY,6M,JYSOF BGN Curncy,PX_LAST,investment,180,1,USD
USDJPY,9M,JYSOI BGN Curncy,PX_LAST,investment,270,1,USD
USDJPY,12M,JYSO1 Curncy,PX_LAST,investment,360,1,USD
USDJPY,SP,JYSO1T CMPN Curncy,PX_LAST,investment,0,1,USD
USDCAD,1W,CAD1W BGN Curncy,PX_ASK,forwards,7,1,USD
USDCAD,2W,CAD2W BGN Curncy,PX_ASK,forwards,14,1,USD
USDCAD,3W,CAD3W BGN Curncy,PX_ASK,forwards,21,1,USD
USDCAD,1M,CAD1M BGN Curncy,PX_ASK,forwards,30,1,USD
USDCAD,2M,CAD2M BGN Curncy,PX_ASK,forwards,60,1,USD
USDCAD,3M,CAD3M BGN Curncy,PX_ASK,forwards,90,1,USD
USDCAD,4M,CAD4M BGN Curncy,PX_ASK,forwards,120,1,USD
USDCAD,5M,CAD5M BGN Curncy,PX_ASK,forwards,150,1,USD
USDCAD,6M,CAD6M BGN Curncy,PX_ASK,forwards,180,1,USD
USDCAD,9M,CAD9M BGN Curncy,PX_ASK,forwards,270,1,USD
USDCAD,12M,CAD12M BGN Curncy,PX_ASK,forwards,360,1,USD
USDCAD,SP,CAD BGN Curncy,PX_ASK,spot,0,1,USD
USDCAD,1W,USOSFR1Z BGN Curncy,PX_LAST,funding,7,1,USD
USDCAD,2W,USOSFR2Z BGN Curncy,PX_LAST,funding,14,1,USD
USDCAD,3W,USOSFR3Z BGN Curncy,PX_LAST,funding,21,1,USD
USDCAD,1M,USOSFRA BGN Curncy,PX_LAST,funding,30,1,USD
USDCAD,2M,USOSFRB BGN Curncy,PX_LAST,funding,60,1,USD
USDCAD,3M,USOSFRC BGN Curncy,PX_LAST,funding,90,1,USD
USDCAD,4M,USOSFRD BGN Curncy,PX_LAST,funding,120,1,USD
USDCAD,5M,USOSFRE BGN Curncy,PX_LAST,funding,150,1,USD
USDCAD,6M,USOSFRF BGN Curncy,PX_LAST,funding,180,1,USD
USDCAD,9M,USOSFRI BGN Curncy,PX_LAST,funding,270,1,USD
USDCAD,12M,USOSFRI BGN Curncy,PX_LAST,funding,360,1,USD
USDCAD,1W,CDSO1Z BGN Curncy,PX_LAST,investment,7,1,USD
USDCAD,2W,CDSO2Z BGN Curncy,PX_LAST,investment,14,1,USD
USDCAD,3W,CDSO1Z BGN Curncy,PX_LAST,investment,21,1,USD
USDCAD,1M,CDSOA BGN Curncy,PX_LAST,investment,30,1,USD
USDCAD,2M,CDSOB BGN Curncy,PX_LAST,investment,60,1,USD
USDCAD,3M,CDSOC BGN Curncy,PX_LAST,investment,90,1,USD
USDCAD,4M,CDSOD BGN Curncy,PX_LAST,investment,120,1,USD
USDCAD,5M,CDSOE BGN Curncy,PX_LAST,investment,150,1,USD
USDCAD,6M,CDSOF BGN Curncy,PX_LAST,investment,180,1,USD
